variable,variable translated,category,count,prevalence
p22131, Doctor diagnosed cystic fibrosis Medical information  ,Yes,9,1.7923716661887008e-05
p20002_i0,,pericardial effusion,8,1.5932192588344008e-05
p22138, Doctor diagnosed silicosis Medical information  ,Yes,8,1.5932192588344008e-05
p20001_i0,,malignant insulinoma,7,1.3940668514801009e-05
p20002_i0,,myelofibrosis,7,1.3940668514801009e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Injury or trauma resulting in loss of vision|Cataract,7,1.3940668514801009e-05
p6148_i0,Eye problems/disorders Eyesight ,Injury or trauma resulting in loss of vision|Cataract|Macular degeneration,7,1.3940668514801009e-05
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Injury or trauma resulting in loss of vision,7,1.3940668514801009e-05
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Injury or trauma resulting in loss of vision|Other serious eye condition,7,1.3940668514801009e-05
p20001_i0,,fallopian tube cancer,6,1.1949144441258006e-05
p20002_i0,,chlamydia,6,1.1949144441258006e-05
p2443_i0,Diabetes diagnosed by doctor Medical conditions  ,No,473127,0.9422438103431794
p2453_i0,Cancer diagnosed by doctor Medical conditions  ,No,460759,0.9176126406015996
p2473_i0,Other serious medical condition/disability diagnosed by doctor Medical conditions  ,No,391559,0.7797991747124239
p2247_i0,Hearing difficulty/problems Hearing  ,No,355102,0.7071941815632667
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,None of the above,350661,0.6983498231526623
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",None of the above,339330,0.6757838638753465
p2188_i0,"Long-standing illness, disability or infirmity General health  ",No,328992,0.6551954880030589
p6149_i0,Mouth/teeth dental problems Mouth  ,None of the above,298164,0.5938007838638754
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,None of group C,172754,0.3440437498008476
p2188_i0,"Long-standing illness, disability or infirmity General health  ",Yes,159787,0.3182196571392155
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,None of group A,139752,0.2783194723257814
p6148_i0,Eye problems/disorders Eyesight ,None of the above,132035,0.2629508810502501
p20002_i0,,hypertension,130914,0.2607183825638084
p2247_i0,Hearing difficulty/problems Hearing  ,Yes,121948,0.2428623777204218
p22138, Doctor diagnosed silicosis Medical information  ,No,121185,0.2413428448523085
p22131, Doctor diagnosed cystic fibrosis Medical information  ,No,121184,0.241340853328235
p22141,Doctor diagnosed mesothelioma of the lung Medical information  ,No,121179,0.2413308957078673
p22136,Doctor diagnosed fibrosing alveolitis/unspecified alveolitis Medical information  ,No,121147,0.2412671669375139
p22139,Doctor diagnosed asbestosis Medical information  ,No,121108,0.2411894974986457
p22135,Doctor diagnosed idiopathic pulmonary fibrosis,No,121085,0.2411436924449543
p22140,Doctor diagnosed lung cancer (not mesothelioma) Medical information  ,No,121037,0.2410480992894242
p22128, Doctor diagnosed emphysema Medical information  ,No,120829,0.2406338622821272
p22133, Doctor diagnosed sarcoidosis Medical information  ,No,120665,0.2403072523340662
p22137,Doctor diagnosed tuberculosis Medical information  ,No,120539,0.2400563203007998
p22134, Doctor diagnosed bronchiectasis Medical information ,No,120120,0.2392218717139853
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,High blood pressure,120103,0.239188015804735
p22129,Doctor diagnosed chronic bronchitis Medical information  ,No,119811,0.2386064907752605
p4803_i0,Tinnitus Hearing  ,"No, never",119494,0.2379751776439473
p22130,Doctor diagnosed COPD (chronic obstructive pulmonary disease) Medical information  ,No,119426,0.2378397540069464
p22127,,No,105711,0.2105260013383041
p2473_i0,Other serious medical condition/disability diagnosed by doctor Medical conditions  ,Yes - you will be asked about this later by an interviewer,99932,0.1990169837172991
p22126,,No,93515,0.1862373737373737
p20126_i0,Bipolar and major depression status Mental health  i0,No Bipolar or Depression,89468,0.1781776758117452
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","Hayfever, allergic rhinitis or eczema",86713,0.1726910269891342
p6149_i0,Mouth/teeth dental problems Mouth  ,Dentures,63417,0.1262964821718765
p20002_i0,,high cholesterol,61358,0.1221959341044514
p20002_i0,,asthma,58217,0.1159405569894529
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Asthma,28993,0.0577402574642322
p2443_i0,Diabetes diagnosed by doctor Medical conditions  ,Yes,26386,0.0525483542045056
p20002_i0,,unclassifiable,25396,0.050576745371698
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,Anxiety or nerves,24074,0.0479439505464742
p20002_i0,,diabetes,21714,0.0432439537329127
p20002_i0,,angina,16110,0.0320834528247777
p22127,,Yes,15482,0.0308327757065927
p20126_i0,Bipolar and major depression status Mental health  i0,Probable Recurrent major depression (moderate),14993,0.0298589204346302
p20002_i0,,eczema/dermatitis,12504,0.0249020170155816
p20002_i0,,hiatus hernia,11061,0.0220282477774591
p4803_i0,Tinnitus Hearing  ,"Yes, now most or all of the time",10708,0.0213252397794984
p20002_i0,,deep venous thrombosis (dvt),9935,0.0197857916706497
p6149_i0,Mouth/teeth dental problems Mouth  ,Toothache,9315,0.018551046745053
p20126_i0,Bipolar and major depression status Mental health  i0,Probable Recurrent major depression (severe),8892,0.0177086320619443
p20002_i0,,back problem,8801,0.0175274033712519
p4041_i0, Gestational diabetes only Medical conditions  ,No,8473,0.0168741834751298
p20002_i0,,cholelithiasis/gall stones,8111,0.0161532517605072
p20002_i0,,osteoporosis,7999,0.0159302010642704
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,Panic attacks,7816,0.015565752158812
p6149_i0,Mouth/teeth dental problems Mouth  ,Loose teeth,7523,0.0149822356052639
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Bleeding gums,7096,0.0141318548258611
p6148_i0,Eye problems/disorders Eyesight ,Other serious eye condition,6947,0.0138351177389032
p20002_i0,,pneumonia,6875,0.0136917280056081
p20002_i0,,emphysema/chronic bronchitis,6810,0.0135622789408278
p20002_i0,,anxiety/panic attacks,6689,0.0133213045279291
p20002_i0,,stroke,6687,0.013317321479782
p20002_i0,,enlarged prostate,6547,0.013038508109486
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Blood clot in the leg (DVT),6166,0.0122797374374661
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,Angina|High blood pressure,5826,0.0116026192524615
p20002_i0,,psoriasis,5559,0.0110708823248255
p20002_i0,,diverticular disease/diverticulitis,5361,0.010676560558264
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma,5346,0.0106466876971608
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,None of group B,143335,0.285455103
p20002_i0,,osteoarthritis,40548,0.080752318
p6149_i0,Mouth/teeth dental problems Mouth  ,Bleeding gums,39990,0.079641048
p2453_i0,Cancer diagnosed by doctor Medical conditions  ,Yes - you will be asked about this later by an interviewer,38595,0.076862872
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,Depression,33984,0.067679954
p20002_i0,,depression,28068,0.055898098
p20002_i0,,hayfever/allergic rhinitis,28044,0.055850301
p22126,,Yes,27678,0.055121403
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers,26772,0.053317082
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","Asthma|Hayfever, allergic rhinitis or eczema",24261,0.048316366
p20002_i0,,hypothyroidism/myxoedema,24160,0.048115222
p20002_i0,,gastro-oesophageal reflux (gord) / gastric reflux,20895,0.041612896
p2247_i0,Hearing difficulty/problems Hearing  ,Do not know,19749,0.039330609
p4803_i0,Tinnitus Hearing  ,"Yes, but not now, but have in the past",18842,0.037524297
p4803_i0,Tinnitus Hearing  ,"Yes, now some of the time",15011,0.029894768
p20002_i0,,migraine,14315,0.028508667
p6148_i0,Eye problems/disorders Eyesight ,Cataract,12097,0.024091467
p20002_i0,,heart attack/myocardial infarction,11507,0.022916468
p20002_i0,,irritable bowel syndrome,11423,0.022749179
p2188_i0,"Long-standing illness, disability or infirmity General health  ",Do not know,11380,0.022663544
p20001_i0,,breast cancer,11376,0.022655578
p2473_i0,Other serious medical condition/disability diagnosed by doctor Medical conditions  ,Do not know,8964,0.017852022
p20002_i0,,prolapsed disc/slipped disc,8150,0.016230921
p20002_i0,,uterine fibroids,8014,0.015960074
p20126_i0,Bipolar and major depression status Mental health  i0,Single Probable major depression episode,7918,0.015768888
p20002_i0,,cataract,7291,0.014520202
p20002_i0,,gout,6951,0.013843084
p20002_i0,,rheumatoid arthritis,5645,0.011242153
p20002_i0,,glaucoma,5308,0.01057101
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Dentures,5018,0.009993468
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,Angina,4910,0.009778383
p6148_i0,Eye problems/disorders Eyesight ,Do not know,4835,0.009629019
p20002_i0,,sciatica,4663,0.009286477
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,Generalized anxiety disorder,4626,0.00921279
p20001_i0,,basal cell carcinoma,4422,0.008806519
p20002_i0,,appendicitis,4256,0.008475926
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Emphysema/chronic bronchitis,4247,0.008458003
p20002_i0,,ear/vestibular disorder,4233,0.008430121
p20002_i0,,headaches (not migraine),4218,0.008400249
p20002_i0,,spine arthritis/spondylitis,4201,0.008366393
p20002_i0,,allergy or anaphylactic reaction to drug,4182,0.008328554
p20002_i0,,pulmonary embolism +/- dvt,4114,0.00819313
p6149_i0,Mouth/teeth dental problems Mouth  ,Painful gums,4108,0.008181181
p20002_i0,,ovarian cyst or cysts,4105,0.008175206
p4803_i0,Tinnitus Hearing  ,"Yes, now a lot of the time",4105,0.008175206
p20002_i0,,epilepsy,4040,0.008045757
p20002_i0,,endometriosis,4038,0.008041774
p20002_i0,,arthritis (nos),3917,0.0078008
p20002_i0,,muscle/soft tissue problem,3872,0.007711181
p20002_i0,,hyperthyroidism/thyrotoxicosis,3854,0.007675334
p20002_i0,,eye/eyelid problem,3832,0.00763152
p4803_i0,Tinnitus Hearing  ,Do not know,3829,0.007625546
p20002_i0,,kidney stone/ureter stone/bladder stone,3814,0.007595673
p20001_i0,,malignant melanoma,3715,0.007398512
p6149_i0,Mouth/teeth dental problems Mouth  ,Bleeding gums|Dentures,3695,0.007358681
p20002_i0,,atrial fibrillation,3635,0.00723919
p20002_i0,,gastric/stomach ulcers,3624,0.007217283
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,Heart attack,3624,0.007217283
p20002_i0,,bronchitis,3621,0.007211309
p6149_i0,Mouth/teeth dental problems Mouth  ,Loose teeth|Dentures,3595,0.007159529
p20002_i0,,muscle or soft tissue injuries,3531,0.007032072
p20002_i0,,allergy/hypersensitivity/anaphylaxis,3508,0.006986266
p20001_i0,,prostate cancer,3462,0.006894656
p20002_i0,,tonsiltis,3420,0.006811012
p20002_i0,,cervical spondylosis,3420,0.006811012
p20002_i0,,type 2 diabetes,3372,0.006715419
p20002_i0,,heart valve problem/heart murmur,3345,0.006661648
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,Stroke|High blood pressure,3219,0.006410716
p6149_i0,Mouth/teeth dental problems Mouth  ,Bleeding gums|Loose teeth,3159,0.006291225
p20002_i0,,chronic sinusitis,3080,0.006133894
p20002_i0,,other joint disorder,3046,0.006066182
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,Stroke,2997,0.005968598
p20002_i0,,iron deficiency anaemia,2994,0.005962623
p20002_i0,,back pain,2937,0.005849106
p20002_i0,,bladder problem (not cancer),2922,0.005819233
p6148_i0,Eye problems/disorders Eyesight ,Macular degeneration,2835,0.005645971
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,Heart attack|High blood pressure,2773,0.005522496
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,Heart attack|Angina|High blood pressure,2733,0.005442835
p20002_i0,,vaginal prolapse/uterine prolapse,2674,0.005325335
p20002_i0,,heart arrhythmia,2648,0.005273556
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Toothache,2612,0.005201861
p20002_i0,,ulcerative colitis,2594,0.005166013
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease,2566,0.005110251
p20002_i0,,tuberculosis (tb),2543,0.005064446
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,Post traumatic stress disorder (PTSD),2449,0.004877242
p6149_i0,Mouth/teeth dental problems Mouth  ,Bleeding gums|Toothache,2364,0.004707963
p20002_i0,,joint disorder,2360,0.004699997
p20002_i0,,essential hypertension,2353,0.004686056
p20002_i0,,urinary tract infection/kidney infection,2280,0.004540675
p6148_i0,Eye problems/disorders Eyesight ,Injury or trauma resulting in loss of vision,2278,0.004536692
p20002_i0,,allergy or anaphylactic reaction to food,2216,0.004413217
p20002_i0,,chronic fatigue syndrome,2154,0.004289743
p20002_i0,,nasal polyps,2077,0.004136396
p20002_i0,,other renal/kidney problem,2045,0.004072667
p20002_i0,,malabsorption/coeliac disease,2043,0.004068684
p20002_i0,,inguinal hernia,2019,0.004020887
p20002_i0,,duodenal ulcer,2015,0.004012921
p20002_i0,,fracture lower leg / ankle,2013,0.004008938
p20002_i0,,other neurological problem,2007,0.003996989
p20001_i0,,cervical cancer,2002,0.003987031
p20002_i0,,meningitis,1992,0.003967116
p20002_i0,,gestational hypertension/pre-eclampsia,1973,0.003929277
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Blood clot in the lung,1939,0.003861565
p20002_i0,,chickenpox,1937,0.003857582
p20002_i0,,nasal/sinus disorder,1868,0.003720167
p20002_i0,,breast cysts,1861,0.003706226
p20002_i0,,joint pain,1799,0.003582752
p20002_i0,,varicose veins,1787,0.003558854
p6149_i0,Mouth/teeth dental problems Mouth  ,Prefer not to answer,1779,0.003542921
p20002_i0,,multiple sclerosis,1777,0.003538938
p20002_i0,,urinary frequency / incontinence,1768,0.003521015
p22130,Doctor diagnosed COPD (chronic obstructive pulmonary disease) Medical information  ,Yes,1767,0.003519023
p20002_i0,,transient ischaemic attack (tia),1765,0.00351504
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,Social anxiety or social phobia,1723,0.003431396
p20001_i0,,cin/pre-cancer cells cervix,1700,0.003385591
p20002_i0,,chronic obstructive airways disease/copd,1656,0.003297964
p6149_i0,Mouth/teeth dental problems Mouth  ,Painful gums|Bleeding gums,1647,0.00328004
p20002_i0,,retinal detachment,1641,0.003268091
p20002_i0,,head injury,1638,0.003262116
p20002_i0,,heart/cardiac problem,1618,0.003222286
p6150_i0, Vascular/heart problems diagnosed by doctor Medical conditions  ,Heart attack|Angina,1613,0.003212328
p20002_i0,,peritonitis,1610,0.003206354
p20002_i0,,measles / morbillivirus,1609,0.003204362
p20002_i0,,pleurisy,1599,0.003184447
p29000, Mental health conditions ever diagnosed by a professional Mental health  ,Any other phobia (e.g. disabling fear of heights or spiders),1593,0.003172498
p20002_i0,,sleep apnoea,1588,0.00316254
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Emphysema/chronic bronchitis|Asthma,1576,0.003138642
p20001_i0,,colon cancer/sigmoid cancer,1574,0.003134659
p20002_i0,,pernicious anaemia,1506,0.002999235
p20001_i0,,skin cancer,1485,0.002957413
p20002_i0,,uterine polyps,1480,0.002947456
p20002_i0,,crohns disease,1475,0.002937498
p20002_i0,,benign breast lump,1471,0.002929532
p20002_i0,,oesophagitis/barretts oesophagus,1461,0.002909617
